country,co2_emmission_all,food_category,consumption,co2_emmission
Cyprus,741.37,Lamb & Goat,5.05,176.85000000000002
Cyprus,741.37,Fish,14.86,23.73
Cyprus,741.37,Eggs,8.98,8.25
Cyprus,741.37,Milk - inc. cheese,113.31,161.4
Cyprus,741.37,Wheat and Wheat Products,83.25,15.88
Cyprus,741.37,Rice,4.94,6.319999999999999
Cyprus,741.37,Soybeans,0.04,0.02
Cyprus,741.37,Nuts inc. Peanut Butter,4.6,8.139999999999999
Czech Republic,760.09,Pork,41.17,145.72
Czech Republic,760.09,Poultry,19.09,20.51
Czech Republic,760.09,Beef,8.15,251.49
Czech Republic,760.09,Lamb & Goat,0.3399999999999999,11.91
Czech Republic,760.09,Fish,8.25,13.17
Czech Republic,760.09,Eggs,11.66,10.71
Czech Republic,760.09,Milk - inc. cheese,195.2,278.04
Czech Republic,760.09,Wheat and Wheat Products,92.67,17.67
Czech Republic,760.09,Rice,4.79,6.13
Czech Republic,760.09,Soybeans,0.8200000000000001,0.37
Czech Republic,760.09,Nuts inc. Peanut Butter,2.47,4.37
Denmark,1498.18,Pork,24.87,88.03
Denmark,1498.18,Poultry,26.75,28.73
Denmark,1498.18,Beef,28.46,878.22
Denmark,1498.18,Lamb & Goat,0.92,32.220000000000006
Denmark,1498.18,Fish,16.49,26.33
Denmark,1498.18,Eggs,15.35,14.1
Denmark,1498.18,Milk - inc. cheese,277.3,394.99
Denmark,1498.18,Wheat and Wheat Products,98.0,18.69
Denmark,1498.18,Rice,4.96,6.35
Denmark,1498.18,Soybeans,0.03,0.01
Denmark,1498.18,Nuts inc. Peanut Butter,5.94,10.51
Ecuador,883.88,Pork,14.44,51.11
Ecuador,883.88,Poultry,21.85,23.47
Ecuador,883.88,Beef,16.610000000000003,512.55
Ecuador,883.88,Lamb & Goat,0.44,15.41
Ecuador,883.88,Fish,5.17,8.25
Ecuador,883.88,Eggs,8.01,7.359999999999999
Ecuador,883.88,Milk - inc. cheese,139.6,198.85
Ecuador,883.88,Wheat and Wheat Products,39.190000000000005,7.470000000000001
Ecuador,883.88,Rice,45.07,57.68
Ecuador,883.88,Soybeans,0.0,0.0
Ecuador,883.88,Nuts inc. Peanut Butter,0.98,1.73
Egypt,673.92,Pork,0.02,0.07
Egypt,673.92,Poultry,14.43,15.5
Egypt,673.92,Beef,12.88,397.45
Egypt,673.92,Lamb & Goat,1.58,55.33
Egypt,673.92,Fish,21.46,34.260000000000005
Egypt,673.92,Eggs,4.59,4.22
Egypt,673.92,Milk - inc. cheese,59.46,84.69
Egypt,673.92,Wheat and Wheat Products,146.83,28.0
Egypt,673.92,Rice,39.77,50.89
Egypt,673.92,Soybeans,0.64,0.29
Egypt,673.92,Nuts inc. Peanut Butter,1.82,3.22
El Salvador,434.04,Pork,3.23,11.43
El Salvador,434.04,Poultry,19.84,21.31
