country,food_category,consumption,co2_emmission,category
Bahamas,Milk - inc. cheese,104.76,149.22,Animal Products
Bahamas,Wheat and Wheat Products,39.98,7.619999999999999,Non-Animal Products
Bahamas,Rice,23.97,30.67,Non-Animal Products
Bahamas,Soybeans,0.09,0.04,Non-Animal Products
Bahamas,Nuts inc. Peanut Butter,4.03,7.13,Non-Animal Products
Portugal,Pork,37.91,134.18,Animal Products
Portugal,Poultry,30.14,32.379999999999995,Animal Products
Portugal,Beef,16.45,507.61,Animal Products
Portugal,Lamb & Goat,2.38,83.35,Animal Products
Portugal,Fish,45.39,72.47,Animal Products
Portugal,Eggs,9.05,8.31,Animal Products
Portugal,Milk - inc. cheese,205.04,292.06,Animal Products
Portugal,Wheat and Wheat Products,94.3,17.979999999999997,Non-Animal Products
Portugal,Rice,14.86,19.02,Non-Animal Products
Portugal,Soybeans,0.01,0.0,Non-Animal Products
Portugal,Nuts inc. Peanut Butter,3.91,6.92,Non-Animal Products
Malta,Pork,34.24,121.19,Animal Products
Malta,Poultry,26.4,28.36,Animal Products
Malta,Beef,19.22,593.09,Animal Products
Malta,Lamb & Goat,1.1900000000000002,41.67,Animal Products
Malta,Fish,24.58,39.25,Animal Products
Malta,Eggs,11.64,10.69,Animal Products
Malta,Milk - inc. cheese,190.06,270.72,Animal Products
Malta,Wheat and Wheat Products,139.58,26.62,Non-Animal Products
Malta,Rice,4.96,6.35,Non-Animal Products
Malta,Soybeans,0.05,0.02,Non-Animal Products
Malta,Nuts inc. Peanut Butter,5.619999999999999,9.95,Non-Animal Products
Armenia,Pork,9.67,34.230000000000004,Animal Products
Armenia,Poultry,13.35,14.34,Animal Products
Armenia,Beef,19.66,606.6700000000001,Animal Products
Armenia,Lamb & Goat,3.02,105.76,Animal Products
Armenia,Fish,4.359999999999999,6.96,Animal Products
Armenia,Eggs,11.69,10.739999999999998,Animal Products
Armenia,Milk - inc. cheese,209.03,297.74,Animal Products
Armenia,Wheat and Wheat Products,130.6,24.91,Non-Animal Products
Armenia,Rice,3.18,4.07,Non-Animal Products
