country,food_category,consumption,co2_emission,category,co2_emission_category,co2_emission_all,co2_emission_animal,co2_emission_non_animals,co2_emission_range
Hong Kong SAR. China,Nuts inc. Peanut Butter,13.81,24.44,Non-Animal Products,91.47,1494.28,1402.81,91.47,1000-1500
French Polynesia,Pork,14.75,52.21,Animal Products,1361.56,1424.69,1361.56,63.13,1000-1500
French Polynesia,Poultry,49.55,53.23,Animal Products,1361.56,1424.69,1361.56,63.13,1000-1500
French Polynesia,Beef,30.9,953.51,Animal Products,1361.56,1424.69,1361.56,63.13,1000-1500
French Polynesia,Lamb & Goat,2.83,99.11,Animal Products,1361.56,1424.69,1361.56,63.13,1000-1500
French Polynesia,Fish,38.95,62.190000000000005,Animal Products,1361.56,1424.69,1361.56,63.13,1000-1500
French Polynesia,Eggs,8.75,8.04,Animal Products,1361.56,1424.69,1361.56,63.13,1000-1500
French Polynesia,Milk - inc. cheese,93.56,133.26999999999998,Animal Products,1361.56,1424.69,1361.56,63.13,1000-1500
French Polynesia,Wheat and Wheat Products,68.66999999999999,13.1,Non-Animal Products,63.13,1424.69,1361.56,63.13,1000-1500
French Polynesia,Rice,35.59,45.54,Non-Animal Products,63.13,1424.69,1361.56,63.13,1000-1500
French Polynesia,Soybeans,0.77,0.35,Non-Animal Products,63.13,1424.69,1361.56,63.13,1000-1500
French Polynesia,Nuts inc. Peanut Butter,2.34,4.14,Non-Animal Products,63.13,1424.69,1361.56,63.13,1000-1500
Israel,Pork,1.99,7.04,Animal Products,1349.36,1405.71,1349.36,56.35,1000-1500
Israel,Poultry,62.5,67.14,Animal Products,1349.36,1405.71,1349.36,56.35,1000-1500
Israel,Beef,28.78,888.09,Animal Products,1349.36,1405.71,1349.36,56.35,1000-1500
Israel,Lamb & Goat,1.87,65.49000000000001,Animal Products,1349.36,1405.71,1349.36,56.35,1000-1500
Israel,Fish,22.18,35.41,Animal Products,1349.36,1405.71,1349.36,56.35,1000-1500
Israel,Eggs,11.35,10.43,Animal Products,1349.36,1405.71,1349.36,56.35,1000-1500
Israel,Milk - inc. cheese,193.6,275.76,Animal Products,1349.36,1405.71,1349.36,56.35,1000-1500
Israel,Wheat and Wheat Products,110.86,21.14,Non-Animal Products,56.35,1405.71,1349.36,56.35,1000-1500
Israel,Rice,16.810000000000002,21.51,Non-Animal Products,56.35,1405.71,1349.36,56.35,1000-1500
Israel,Soybeans,0.1,0.05,Non-Animal Products,56.35,1405.71,1349.36,56.35,1000-1500
