country,co2_emmission_all,food_category_x,consumption,co2_emmission_x,food_category_y,co2_emmission_y
Barbados,889.11,Wheat and Wheat Products,65.71000000000001,12.53,Non-Animal Products,39.98
Barbados,889.11,Rice,15.66,20.04,Animal Products,849.13
Barbados,889.11,Rice,15.66,20.04,Non-Animal Products,39.98
Barbados,889.11,Soybeans,0.1,0.05,Animal Products,849.13
Barbados,889.11,Soybeans,0.1,0.05,Non-Animal Products,39.98
Barbados,889.11,Nuts inc. Peanut Butter,4.159999999999999,7.359999999999999,Animal Products,849.13
Barbados,889.11,Nuts inc. Peanut Butter,4.159999999999999,7.359999999999999,Non-Animal Products,39.98
Belarus,960.22,Pork,40.37,142.89,Animal Products,938.54
Belarus,960.22,Pork,40.37,142.89,Non-Animal Products,21.68
Belarus,960.22,Poultry,31.29,33.61,Animal Products,938.54
Belarus,960.22,Poultry,31.29,33.61,Non-Animal Products,21.68
Belarus,960.22,Beef,17.110000000000003,527.98,Animal Products,938.54
Belarus,960.22,Beef,17.110000000000003,527.98,Non-Animal Products,21.68
Belarus,960.22,Lamb & Goat,0.11,3.85,Animal Products,938.54
Belarus,960.22,Lamb & Goat,0.11,3.85,Non-Animal Products,21.68
Belarus,960.22,Fish,15.75,25.15,Animal Products,938.54
Belarus,960.22,Fish,15.75,25.15,Non-Animal Products,21.68
Belarus,960.22,Eggs,15.86,14.57,Animal Products,938.54
Belarus,960.22,Eggs,15.86,14.57,Non-Animal Products,21.68
Belarus,960.22,Milk - inc. cheese,133.73,190.49,Animal Products,938.54
Belarus,960.22,Milk - inc. cheese,133.73,190.49,Non-Animal Products,21.68
Belarus,960.22,Wheat and Wheat Products,60.48,11.53,Animal Products,938.54
Belarus,960.22,Wheat and Wheat Products,60.48,11.53,Non-Animal Products,21.68
Belarus,960.22,Rice,3.17,4.06,Animal Products,938.54
Belarus,960.22,Rice,3.17,4.06,Non-Animal Products,21.68
Belarus,960.22,Soybeans,0.3,0.14,Animal Products,938.54
Belarus,960.22,Soybeans,0.3,0.14,Non-Animal Products,21.68
Belarus,960.22,Nuts inc. Peanut Butter,3.36,5.95,Animal Products,938.54
Belarus,960.22,Nuts inc. Peanut Butter,3.36,5.95,Non-Animal Products,21.68
Belgium,1102.09,Pork,38.65,136.8,Animal Products,1056.74
Belgium,1102.09,Pork,38.65,136.8,Non-Animal Products,45.35
Belgium,1102.09,Poultry,12.2,13.11,Animal Products,1056.74
Belgium,1102.09,Poultry,12.2,13.11,Non-Animal Products,45.35
Belgium,1102.09,Beef,15.63,482.31,Animal Products,1056.74
Belgium,1102.09,Beef,15.63,482.31,Non-Animal Products,45.35
Belgium,1102.09,Lamb & Goat,1.32,46.23,Animal Products,1056.74
Belgium,1102.09,Lamb & Goat,1.32,46.23,Non-Animal Products,45.35
Belgium,1102.09,Fish,18.97,30.29,Animal Products,1056.74
Belgium,1102.09,Fish,18.97,30.29,Non-Animal Products,45.35
Belgium,1102.09,Eggs,12.59,11.57,Animal Products,1056.74
Belgium,1102.09,Eggs,12.59,11.57,Non-Animal Products,45.35
Belgium,1102.09,Milk - inc. cheese,236.19,336.42999999999995,Animal Products,1056.74
Belgium,1102.09,Milk - inc. cheese,236.19,336.42999999999995,Non-Animal Products,45.35
Belgium,1102.09,Wheat and Wheat Products,111.91,21.34,Animal Products,1056.74
Belgium,1102.09,Wheat and Wheat Products,111.91,21.34,Non-Animal Products,45.35
Belgium,1102.09,Rice,8.61,11.02,Animal Products,1056.74
Belgium,1102.09,Rice,8.61,11.02,Non-Animal Products,45.35
Belgium,1102.09,Soybeans,0.07,0.03,Animal Products,1056.74
Belgium,1102.09,Soybeans,0.07,0.03,Non-Animal Products,45.35
Belgium,1102.09,Nuts inc. Peanut Butter,7.319999999999999,12.96,Animal Products,1056.74
Belgium,1102.09,Nuts inc. Peanut Butter,7.319999999999999,12.96,Non-Animal Products,45.35
Belize,433.08,Pork,16.8,59.46,Animal Products,375.67
Belize,433.08,Pork,16.8,59.46,Non-Animal Products,57.41
Belize,433.08,Poultry,28.31,30.41,Animal Products,375.67
Belize,433.08,Poultry,28.31,30.41,Non-Animal Products,57.41
Belize,433.08,Beef,4.859999999999999,149.97,Animal Products,375.67
Belize,433.08,Beef,4.859999999999999,149.97,Non-Animal Products,57.41
Belize,433.08,Lamb & Goat,0.14,4.9,Animal Products,375.67
Belize,433.08,Lamb & Goat,0.14,4.9,Non-Animal Products,57.41
Belize,433.08,Fish,7.57,12.09,Animal Products,375.67
Belize,433.08,Fish,7.57,12.09,Non-Animal Products,57.41
Belize,433.08,Eggs,4.85,4.46,Animal Products,375.67
Belize,433.08,Eggs,4.85,4.46,Non-Animal Products,57.41
Belize,433.08,Milk - inc. cheese,80.3,114.38,Animal Products,375.67
Belize,433.08,Milk - inc. cheese,80.3,114.38,Non-Animal Products,57.41
Belize,433.08,Wheat and Wheat Products,54.06,10.31,Animal Products,375.67
Belize,433.08,Wheat and Wheat Products,54.06,10.31,Non-Animal Products,57.41
Belize,433.08,Rice,28.42,36.37,Animal Products,375.67
Belize,433.08,Rice,28.42,36.37,Non-Animal Products,57.41
Belize,433.08,Soybeans,1.88,0.8500000000000001,Animal Products,375.67
Belize,433.08,Soybeans,1.88,0.8500000000000001,Non-Animal Products,57.41
Belize,433.08,Nuts inc. Peanut Butter,5.58,9.88,Animal Products,375.67
Belize,433.08,Nuts inc. Peanut Butter,5.58,9.88,Non-Animal Products,57.41
Bermuda,1483.28,Pork,28.24,99.96,Animal Products,1455.71
Bermuda,1483.28,Pork,28.24,99.96,Non-Animal Products,27.57
Bermuda,1483.28,Poultry,32.620000000000005,35.04,Animal Products,1455.71
Bermuda,1483.28,Poultry,32.620000000000005,35.04,Non-Animal Products,27.57
Bermuda,1483.28,Beef,33.15,1022.94,Animal Products,1455.71
Bermuda,1483.28,Beef,33.15,1022.94,Non-Animal Products,27.57
Bermuda,1483.28,Lamb & Goat,2.71,94.9,Animal Products,1455.71
Bermuda,1483.28,Lamb & Goat,2.71,94.9,Non-Animal Products,27.57
Bermuda,1483.28,Fish,33.220000000000006,53.04,Animal Products,1455.71
Bermuda,1483.28,Fish,33.220000000000006,53.04,Non-Animal Products,27.57
Bermuda,1483.28,Eggs,14.92,13.71,Animal Products,1455.71
Bermuda,1483.28,Eggs,14.92,13.71,Non-Animal Products,27.57
Bermuda,1483.28,Milk - inc. cheese,95.56,136.12,Animal Products,1455.71
Bermuda,1483.28,Milk - inc. cheese,95.56,136.12,Non-Animal Products,27.57
Bermuda,1483.28,Wheat and Wheat Products,54.88,10.47,Animal Products,1455.71
Bermuda,1483.28,Wheat and Wheat Products,54.88,10.47,Non-Animal Products,27.57
Bermuda,1483.28,Rice,5.38,6.88,Animal Products,1455.71
Bermuda,1483.28,Rice,5.38,6.88,Non-Animal Products,27.57
Bermuda,1483.28,Soybeans,0.22,0.1,Animal Products,1455.71
Bermuda,1483.28,Soybeans,0.22,0.1,Non-Animal Products,27.57
Bermuda,1483.28,Nuts inc. Peanut Butter,5.72,10.12,Animal Products,1455.71
Bermuda,1483.28,Nuts inc. Peanut Butter,5.72,10.12,Non-Animal Products,27.57
Bolivia,873.0300000000001,Pork,8.89,31.47,Animal Products,812.75
Bolivia,873.0300000000001,Pork,8.89,31.47,Non-Animal Products,60.28
Bolivia,873.0300000000001,Poultry,34.309999999999995,36.86,Animal Products,812.75
Bolivia,873.0300000000001,Poultry,34.309999999999995,36.86,Non-Animal Products,60.28
Bolivia,873.0300000000001,Beef,19.78,610.37,Animal Products,812.75
Bolivia,873.0300000000001,Beef,19.78,610.37,Non-Animal Products,60.28
Bolivia,873.0300000000001,Lamb & Goat,1.72,60.23,Animal Products,812.75
Bolivia,873.0300000000001,Lamb & Goat,1.72,60.23,Non-Animal Products,60.28
Bolivia,873.0300000000001,Fish,2.18,3.48,Animal Products,812.75
Bolivia,873.0300000000001,Fish,2.18,3.48,Non-Animal Products,60.28
Bolivia,873.0300000000001,Eggs,5.18,4.76,Animal Products,812.75
Bolivia,873.0300000000001,Eggs,5.18,4.76,Non-Animal Products,60.28
Bolivia,873.0300000000001,Milk - inc. cheese,46.04,65.58,Animal Products,812.75
Bolivia,873.0300000000001,Milk - inc. cheese,46.04,65.58,Non-Animal Products,60.28
Bolivia,873.0300000000001,Wheat and Wheat Products,49.99,9.53,Animal Products,812.75
Bolivia,873.0300000000001,Wheat and Wheat Products,49.99,9.53,Non-Animal Products,60.28
Bolivia,873.0300000000001,Rice,26.99,34.54,Animal Products,812.75
Bolivia,873.0300000000001,Rice,26.99,34.54,Non-Animal Products,60.28
Bolivia,873.0300000000001,Soybeans,0.01,0.0,Animal Products,812.75
Bolivia,873.0300000000001,Soybeans,0.01,0.0,Non-Animal Products,60.28
Bolivia,873.0300000000001,Nuts inc. Peanut Butter,9.16,16.21,Animal Products,812.75
Bolivia,873.0300000000001,Nuts inc. Peanut Butter,9.16,16.21,Non-Animal Products,60.28
Bosnia and Herzegovina,628.1800000000001,Pork,9.38,33.2,Animal Products,603.72
Bosnia and Herzegovina,628.1800000000001,Pork,9.38,33.2,Non-Animal Products,24.46
